Customer ID,Comments
173,Great for wine and beer lovers.. Shopping here as a new customer has been great..
174,The ingredients here are perfect for my recipes..
175,Good variety of wines and beers.. Stopped coming here because it didn't meet my needs..
176,I've moved to another store for better deals.. Always find great organic products..
177,Moved to a different store. Fantastic selection for home-cooked meals..
178,Convenient shopping for my entire family.. I no longer visit this store due to past experiences..
179,I've been a regular shopper and always find everything I need.. Cleaning supplies are always stocked..
180,"As a newcomer, I love the variety and offers.."
181,Prices are too high for me. Love the variety for kids' products..
182,The ingredients here are perfect for my recipes.. I no longer visit this store due to past experiences..
183,Great for wine and beer lovers.. Prices are too high for me.
184,A great place for organic options for my meals..
185,Top-notch selection of organic meats.. Prices are too high for me.
186,Prices are too high for me. Love the variety of products for children..
187,Moved to a different store. Top-notch selection of organic meats..
188,Moved to a different store. Great for wine and beer lovers..
189,I stopped shopping here as I couldn't find what I needed.. The organic section is excellent..
190,I've been a regular shopper and always find everything I need.. Convenient for all my household chores..
191,A one-stop shop for all household chores.. Shopping here for a while now and it's always satisfying..
192,Great place for family shopping.. Prices are too high for me.
193,I no longer visit this store due to past experiences.. Always find great organic products..
194,Easy to find everything for my kids here.. I've moved to another store for better deals..
195,I'm thrilled by the discounts for new shoppers.. Good variety of wines and beers..
196,Prices are too high for me. Love the variety for kids' products..
197,This place is my preferred store for all my needs.. A one-stop shop for all household chores..
198,Excellent selection of snacks for kids.. I no longer visit this store due to past experiences..
199,The deals on alcohol are great.. I've moved to another store for better deals..
200,Moved to a different store. Always something new to try..
